match,date,venue,max_possible_pts,model_points,model_overlap,model_capture_pct,career_capture_pct,form_capture_pct,random_capture_pct
Delhi Capitals vs Kolkata Knight Riders,2024-04-29,"Eden Gardens, Kolkata",659.5,627.0,10,95.07,66.72,82.79,41.47
Delhi Capitals vs Lucknow Super Giants,2024-05-14,"Arun Jaitley Stadium, Delhi",768.5,668.0,9,86.92,43.46,66.43,52.96
Delhi Capitals vs Mumbai Indians,2023-04-11,"Arun Jaitley Stadium, Delhi",807.5,767.0,9,94.98,65.51,89.41,56.1
Delhi Capitals vs Mumbai Indians,2024-04-27,"Arun Jaitley Stadium, Delhi",903.0,682.5,6,75.58,52.38,83.0,38.48
Delhi Capitals vs Punjab Kings,2023-05-17,"Himachal Pradesh Cricket Association Stadium, Dharamsala",892.0,783.0,9,87.78,33.35,75.95,40.36
Delhi Capitals vs Punjab Kings,2024-03-23,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",730.5,663.5,9,90.83,60.23,59.0,40.52
Delhi Capitals vs Rajasthan Royals,2024-05-07,"Arun Jaitley Stadium, Delhi",858.0,608.0,6,70.86,54.6,72.67,48.31
Delhi Capitals vs Rajasthan Royals,2025-04-16,"Arun Jaitley Stadium, Delhi",643.0,517.0,7,80.4,58.01,81.96,45.88
Delhi Capitals vs Sunrisers Hyderabad,2023-04-24,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",721.5,491.0,6,68.05,44.21,45.32,32.57
Gujarat Titans vs Chennai Super Kings,2023-05-29,"Narendra Modi Stadium, Ahmedabad",780.5,616.0,8,78.92,68.29,78.09,38.44
Gujarat Titans vs Chennai Super Kings,2024-05-10,"Narendra Modi Stadium, Ahmedabad",989.0,885.0,8,89.48,68.45,77.45,34.58
Gujarat Titans vs Delhi Capitals,2024-04-17,"Narendra Modi Stadium, Ahmedabad",580.5,456.0,6,78.55,46.94,75.45,21.45
Gujarat Titans vs Kolkata Knight Riders,2023-04-09,"Narendra Modi Stadium, Ahmedabad",846.5,705.0,9,83.28,44.77,47.9,29.06
Gujarat Titans vs Lucknow Super Giants,2023-04-22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",760.0,545.0,9,71.71,60.46,67.76,42.5
Gujarat Titans vs Lucknow Super Giants,2025-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",711.5,618.0,8,86.86,74.49,85.8,47.43
Gujarat Titans vs Lucknow Super Giants,2023-05-07,"Narendra Modi Stadium, Ahmedabad",846.5,704.0,9,83.17,65.92,93.44,48.14
Gujarat Titans vs Mumbai Indians,2023-04-25,"Narendra Modi Stadium, Ahmedabad",703.5,540.5,7,76.83,70.01,72.28,44.63
Gujarat Titans vs Mumbai Indians,2023-05-26,"Narendra Modi Stadium, Ahmedabad",1001.5,958.5,9,95.71,74.69,90.96,54.37
Gujarat Titans vs Mumbai Indians,2024-03-24,"Narendra Modi Stadium, Ahmedabad",646.0,548.5,9,84.91,70.67,88.16,32.35
Gujarat Titans vs Mumbai Indians,2025-03-29,"Narendra Modi Stadium, Ahmedabad",663.5,572.0,8,86.21,82.52,86.44,56.07
Gujarat Titans vs Punjab Kings,2024-04-04,"Narendra Modi Stadium, Ahmedabad",705.5,470.5,5,66.69,63.5,58.75,38.2
Gujarat Titans vs Rajasthan Royals,2023-04-16,"Narendra Modi Stadium, Ahmedabad",751.0,550.0,7,73.24,47.8,59.39,31.56
